global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,roc_auc,lr,elapsed_sec
1,head_only,1,0.4963830038905144,0.2145321370266816,0.9114825131538223,0.9003362885967594,0.9467510705641408,0.9058751153491233,0.9812887137298424,5.5540355677154585e-05,97.61397409439087
2,head_only,2,0.1803450888031956,0.13096696178784922,0.9276276276276276,0.9443595230816264,0.9551293986222305,0.9359188001817906,0.9886924588672447,9.876843545689525e-05,98.02473092079163
3,head_only,3,0.1438865061032728,0.11972868128214031,0.937007874015748,0.945888107612351,0.9612735058648296,0.9414270500532481,0.9900865985399698,9.259540824083929e-05,98.21881461143494
4,head_only,4,0.13638321705749762,0.11457952318767853,0.9393571861734384,0.9471109752369306,0.96276298640849,0.9432181458365048,0.9908468210308414,8.642238102478333e-05,98.3167188167572
5,head_only,5,0.13184259139721655,0.11300591408507898,0.9366407650926479,0.9581167838581474,0.9605287655929995,0.9472570651352576,0.9911363157589466,8.024935380872739e-05,98.54295325279236
6,head_only,6,0.12951440361369712,0.11149577663266375,0.9465109130033815,0.9413023540201774,0.9676037981753863,0.9438994481912937,0.9913621740131978,7.407632659267143e-05,100.30381488800049
7,head_only,7,0.13021962960328667,0.1110298282446285,0.9494573643410853,0.9361051666157139,0.9696518339229194,0.9427339901477833,0.9915607107044346,6.790329937661547e-05,100.27117371559143
8,head_only,8,0.12675499505927704,0.10867659203872523,0.9443768996960487,0.9498624273922348,0.9659281325637684,0.9471117207742722,0.991654856256988,6.173027216055953e-05,100.74035096168518
9,head_only,9,0.12624508615931854,0.10769047354252133,0.9407518796992481,0.9562824824212779,0.9633215416123627,0.9484536082474226,0.9918276651430531,5.5557244944503574e-05,101.11276721954346
10,head_only,10,0.1219239448761485,0.10665015695507035,0.9442424242424242,0.952613879547539,0.9657419474958109,0.9484096788921017,0.9919376913541085,4.9384217728447624e-05,100.99998736381531
11,head_only,11,0.12512612980538107,0.10628536106977503,0.9424004825090471,0.9553653317028432,0.964438652020108,0.9488386215272506,0.9919980264724316,4.3211190512391666e-05,100.42972469329834
12,head_only,12,0.12151947623036177,0.10574358705814708,0.9451681308694335,0.9538367471721186,0.9663005026996835,0.9494826536822885,0.9920577354716024,3.7038163296335716e-05,99.94032001495361
13,head_only,13,0.12168112712834268,0.1053828848149244,0.9446125907990315,0.9541424640782635,0.9659281325637684,0.9493536121673004,0.992111724018517,3.0865136080279766e-05,99.92541599273682
14,head_only,14,0.1179575195141467,0.1055832207784988,0.9411588111678175,0.9584225007642923,0.9635077266803203,0.9497122084216904,0.992133438969121,2.4692108864223812e-05,99.75774073600769
15,head_only,15,0.12169303761547422,0.10538998896749142,0.9414238510063082,0.9581167838581474,0.9636939117482778,0.9496969696969697,0.9921420338774859,1.8519081648167858e-05,100.01009440422058
16,head_only,16,0.11937951791820488,0.10487214245093877,0.9446795646916566,0.9553653317028432,0.9659281325637684,0.9499924000607995,0.9921649726064332,1.2346054432111906e-05,99.92209243774414
17,head_only,17,0.1191885880024856,0.10469139482045327,0.9435727217863609,0.955976765515133,0.9651833922919382,0.9497342444950645,0.9921942294468278,6.173027216055953e-06,99.99395775794983
18,head_only,18,0.12174086358508306,0.1046762974549304,0.9454545454545454,0.9538367471721186,0.966486687767641,0.9496271495967128,0.9921931479682917,0.0,99.95133209228516
19,pooler,1,0.12163100836183784,0.11632757594035116,0.9281332164767747,0.9712626108223785,0.9541984732824428,0.9492082461906185,0.9918778685150919,2.7770177838577293e-05,99.67877721786499
20,pooler,2,0.12501256836789287,0.10338278358925462,0.9491008838768669,0.9520024457352492,0.9689070936510892,0.9505494505494505,0.9923640784968997,4.9384217728447624e-05,99.76603698730469
21,pooler,3,0.11967250424623031,0.09928986014839371,0.947463768115942,0.959339651482727,0.9676037981753863,0.953364727327966,0.9929439502119158,4.6297704120419645e-05,99.47376132011414
22,pooler,4,0.11198548094273128,0.10043979178333436,0.9384251036116045,0.969122592479364,0.9612735058648296,0.953526846142277,0.9930442146561858,4.3211190512391666e-05,99.59214377403259
23,pooler,5,0.10774814686852649,0.09725866490899694,0.9384207424867413,0.9737083460715378,0.9610873207968721,0.9557389347336834,0.9935515419294068,4.0124676904363695e-05,99.54933309555054
24,pooler,6,0.10342140678371409,0.0954254675820908,0.9578850292038119,0.952613879547539,0.9744926456898156,0.9552421827099938,0.9934233582629315,3.7038163296335716e-05,99.76856803894043
25,pooler,7,0.10061735954833001,0.09256831389125984,0.9553106825834099,0.9541424640782635,0.9728169800781977,0.954726215968186,0.9938500300053374,3.395164968830774e-05,100.00925636291504
26,pooler,8,0.09597170031331297,0.095342752911486,0.9429250891795482,0.969734026291654,0.9642524669521504,0.9561416729464959,0.9937887272483241,3.0865136080279766e-05,100.01335978507996
27,pooler,9,0.09434324686571478,0.08969140178797876,0.9528558476881233,0.9639254050749007,0.9709551293986223,0.9583586626139817,0.993961820734004,2.7778622472251787e-05,99.29822874069214
28,pooler,10,0.09333018918195969,0.08858044227578349,0.9579780755176613,0.9617853867318863,0.9743064606218581,0.9598779557589626,0.994106340418365,2.4692108864223812e-05,99.27978229522705
29,pooler,11,0.09208954152251993,0.08776161344790392,0.9596946564885496,0.9608682360134515,0.9754235710296034,0.9602810876871372,0.9941619511830834,2.1605595256195833e-05,99.65469527244568
30,pooler,12,0.08831244784870686,0.08720290080151137,0.9622583614605708,0.9587282176704371,0.9770992366412213,0.9604900459418071,0.9943530882843373,1.8519081648167858e-05,99.81715321540833
31,pooler,13,0.08726854844183977,0.08750840465141022,0.961857889880037,0.955976765515133,0.9769130515732638,0.9589083103342533,0.994404316214989,1.5432568040139883e-05,99.93591904640198
32,pooler,14,0.087762009029006,0.08535501675043419,0.9501492537313433,0.9730969122592479,0.9689070936510892,0.9614861803352968,0.994584097791615,1.2346054432111906e-05,99.98777914047241
33,pooler,15,0.08448148271747924,0.08726221031119007,0.9607361963190184,0.9575053500458576,0.9761683113014337,0.9591180523656407,0.9944363905915693,9.259540824083929e-06,99.82976245880127
34,pooler,16,0.0818722412366365,0.08656569393625592,0.9625766871165644,0.959339651482727,0.9772854217091789,0.9609554432705558,0.9944721647631412,6.173027216055953e-06,99.85174131393433
35,pooler,17,0.08271193994768881,0.08527222130214795,0.9597683633038707,0.962702537450321,0.9754235710296034,0.9612332112332113,0.9945424324080183,3.0865136080279765e-06,100.02825665473938
36,pooler,18,0.08252051172392635,0.08489445871536565,0.9563900666262871,0.9654539896056252,0.9731893502141128,0.960900654191389,0.9945344920787674,0.0,100.03042244911194
37,encoder_outputs,1,0.09097946413879839,0.09189706129665651,0.9679726368159204,0.9516967288291043,0.9808229380003723,0.959765685216587,0.9947497063074275,2.7770177838577293e-05,184.98424410820007
38,encoder_outputs,2,0.09182232805513983,0.08995835049293366,0.9676817899316346,0.9520024457352492,0.9806367529324148,0.9597780859916782,0.9946417861335214,4.9384217728447624e-05,184.87351250648499
39,encoder_outputs,3,0.0648260829015979,0.09080211237211616,0.9537313432835821,0.9767655151329868,0.9711413144665798,0.9651110104213865,0.9954107742925266,4.6297704120419645e-05,184.9701247215271
40,encoder_outputs,4,0.0408494068516689,0.10456039313987062,0.9692928039702233,0.9553653317028432,0.9815676782722026,0.962278675904542,0.9952795169502123,4.3211190512391666e-05,185.02943754196167
41,encoder_outputs,5,0.026738286821522607,0.12450731902274181,0.956745311554749,0.9669825741363497,0.9733755352820703,0.9618367036642846,0.9945935749587856,4.0124676904363695e-05,185.05238342285156
42,encoder_outputs,6,0.020145665526591437,0.15214669909240416,0.9640110735158413,0.9581167838581474,0.9782163470489667,0.9610548911376878,0.9941610973842393,3.7038163296335716e-05,185.09130311012268
43,encoder_outputs,7,0.01474020403615832,0.14161704674022665,0.9601339013998783,0.9645368388871904,0.975609756097561,0.9623303339942046,0.9934528427830177,3.395164968830774e-05,184.99857234954834
44,encoder_outputs,8,0.014949422553564577,0.19065631395640908,0.9685162094763092,0.9498624273922348,0.9811953081362875,0.959098626331224,0.9930204221283941,3.0865136080279766e-05,185.07287907600403
