global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,roc_auc,lr,elapsed_sec
1,head_only,1,3.3049710756772526,3.1289871289179874,0.005524741232475871,0.03571428571428571,0.9642857142857143,0.009569197019554446,0.0,3.3333333333333335e-05,7.419692039489746
2,head_only,2,2.86673898665936,2.6913978457450867,0.031493241698775196,0.07465023101449751,0.9686924884817982,0.04129855356685227,0.0,6.666666666666667e-05,7.207535743713379
3,head_only,3,2.6033588585915504,2.43203443976549,0.09546672158174337,0.10286008314123343,0.9714331013779489,0.07286874261636335,0.0,0.0001,7.219706296920776
4,head_only,4,2.4458531760550164,2.288231368248279,0.10224936282613026,0.13285804644096771,0.9737641888651579,0.10598008364964374,0.0,9.896907216494846e-05,7.2297139167785645
5,head_only,5,2.3609970181019273,2.1992750488794766,0.1129907949985459,0.15185036155525053,0.9750732294060773,0.12027618870230199,0.0,9.793814432989691e-05,7.224859237670898
6,head_only,6,2.294022702551507,2.111972368680514,0.17257470745031483,0.17678213233121706,0.9757200672795152,0.15945835090427193,0.0,9.690721649484537e-05,7.241594552993774
7,head_only,7,2.261597595431588,2.088765027431341,0.15192344394935794,0.17722541149797297,0.9758783899168091,0.15261872503515622,0.0,9.587628865979382e-05,7.24208927154541
8,head_only,8,2.238055646419525,2.059291812089773,0.16387048569154933,0.18680871454032105,0.976531812147441,0.16709280910677252,0.0,9.484536082474227e-05,7.246352195739746
9,head_only,9,2.206979876214808,2.0288226237663856,0.17237236210879314,0.19072035909534643,0.9767062810447767,0.1690865970673648,0.0,9.381443298969073e-05,7.242878675460815
10,head_only,10,2.209182026324334,2.022152923620664,0.17517972798342343,0.19126441740314837,0.9767541531411225,0.16959665582426717,0.0,9.278350515463918e-05,7.261826515197754
11,head_only,11,2.1774751931041867,2.0250368278760176,0.19067055229541777,0.19466987709901937,0.97657808854095,0.17513504854015063,0.0,9.175257731958763e-05,7.254640817642212
12,head_only,12,2.1635599569840864,1.9984110020674193,0.18156740786142564,0.1942212901757305,0.9768452873023563,0.17321782035363759,0.0,9.072164948453609e-05,7.255958795547485
13,head_only,13,2.1630275311408105,1.9838123894654787,0.22310441946776613,0.2008848626310944,0.9768644156206401,0.17919663483516773,0.0,8.969072164948454e-05,7.2638115882873535
14,head_only,14,2.1602151362926927,1.9698704985471873,0.2326890894804085,0.21271876716995725,0.9773750948702885,0.1964117135358526,0.0,8.865979381443299e-05,7.2571961879730225
15,head_only,15,2.1508318054211606,1.9663773958499615,0.19949920698975115,0.20642271185911992,0.9772374502221376,0.1882984112476703,0.0,8.762886597938145e-05,7.250981569290161
16,head_only,16,2.121508154002103,1.9651265786244319,0.20787946066901322,0.21592265417431172,0.9772605249997125,0.2018226538600017,0.0,8.65979381443299e-05,7.262651681900024
17,head_only,17,2.1279536818529103,1.9532299546095042,0.22244024811531418,0.22558210266752,0.9777945574080513,0.21033160699985748,0.0,8.556701030927835e-05,7.24988865852356
18,head_only,18,2.118103297499867,1.9531907164133513,0.2239853763431076,0.2220020516486403,0.9775235422718526,0.20118459728517687,0.0,8.453608247422681e-05,7.252521514892578
19,head_only,19,2.109145952509595,1.938703539279791,0.2562646696497589,0.23189045713445028,0.9776670465496432,0.21454807330420136,0.0,8.350515463917527e-05,7.2610650062561035
20,head_only,20,2.1091149967986267,1.9307680703126466,0.2669695432338094,0.23470955778095934,0.9776308976294332,0.2219229024311764,0.0,8.247422680412371e-05,7.2485010623931885
21,head_only,21,2.117366561641941,1.9055361564342792,0.2351525594501676,0.22803987299353023,0.9778170732438923,0.21805552007833248,0.0,8.144329896907217e-05,7.259600639343262
22,head_only,22,2.1105880125776513,1.9004839406563685,0.27222686608176644,0.23922005266973273,0.9779632507121836,0.22514726825084289,0.0,8.041237113402063e-05,7.2453672885894775
23,head_only,23,2.085124405173512,1.9176844587692847,0.2639410844533051,0.23086631047114534,0.9778038551899817,0.21673609231723695,0.0,7.938144329896907e-05,7.265864849090576
24,head_only,24,2.1082731051878496,1.9097727605929742,0.24367224917184752,0.22788148567403166,0.9778400132945936,0.21774861908775178,0.0,7.835051546391753e-05,7.25868821144104
25,head_only,25,2.0864684070859636,1.8815924685734968,0.28471377049829605,0.24945169156343325,0.9784009218337454,0.2369963608036678,0.0,7.731958762886599e-05,7.258809328079224
26,head_only,26,2.074171889137912,1.8941699747855847,0.29179081751402114,0.24909183228923557,0.9781148757636092,0.23453937845917774,0.0,7.628865979381443e-05,7.253559827804565
27,head_only,27,2.0707203258167612,1.892668536076179,0.2951664587582169,0.24418623016933955,0.9783109237590463,0.23237258661375074,0.0,7.525773195876289e-05,7.266757965087891
28,head_only,28,2.0775583564461053,1.8912009505125194,0.3162382885572394,0.2507343093868016,0.9782206223801932,0.23796702578455786,0.0,7.422680412371135e-05,7.259584426879883
29,head_only,29,2.070989411372643,1.8936985799899468,0.3080550205834466,0.25313166657456077,0.9783953265427983,0.23937731581864616,0.0,7.319587628865979e-05,7.272868633270264
30,head_only,30,2.062731277633023,1.882904323247763,0.29329162413203985,0.25328435823950013,0.9782143795619431,0.23493423773475217,0.0,7.216494845360825e-05,7.260606050491333
31,head_only,31,2.0624430411821835,1.8812717703672557,0.3237130454876005,0.23996777077148068,0.9780915148539604,0.23290604247949204,0.0,7.113402061855671e-05,7.262816667556763
32,head_only,32,2.0556151085085683,1.8623691980655377,0.3162497454085644,0.2573573702708705,0.9784019050217981,0.24141245429424796,0.0,7.010309278350515e-05,7.2604076862335205
33,head_only,33,2.0589441347431827,1.875644644865623,0.263947824695893,0.2546563620908881,0.9783232053071703,0.23836351777397047,0.0,6.907216494845361e-05,7.267952919006348
34,head_only,34,2.063582896412193,1.8577856031747966,0.34116818815999067,0.26234556403504805,0.9786554899214838,0.24699257019779006,0.0,6.804123711340207e-05,7.267979383468628
35,head_only,35,2.0414733739642354,1.8786373138427734,0.28761187842786773,0.2545613553543545,0.978008024397215,0.2380092613377906,0.0,6.701030927835051e-05,7.265079021453857
36,head_only,36,2.0546896264150547,1.8602261176476111,0.32038672545647157,0.2533351203453312,0.9782955010639075,0.242718247650386,0.0,6.597938144329897e-05,7.2699644565582275
37,head_only,37,2.0515712646694926,1.8515774653508112,0.3082076138137902,0.25184403994219967,0.9781965773633593,0.2388754080461981,0.0,6.494845360824743e-05,7.251917600631714
38,head_only,38,2.0497600219466467,1.8538012000230641,0.30527237041659055,0.25751142982124914,0.9783427386789384,0.2413884442948185,0.0,6.391752577319587e-05,7.2719786167144775
39,head_only,39,2.0484736499848304,1.8523941269287696,0.28598251261373964,0.2541313027485332,0.97834176674308,0.23976926444719854,0.0,6.288659793814433e-05,7.2619404792785645
40,head_only,40,2.0489466182597273,1.852161636719337,0.31226306802724346,0.2593465411819099,0.9786130081085055,0.24875310748279506,0.0,6.185567010309279e-05,7.2621777057647705
41,head_only,41,2.0521698772133172,1.858328062754411,0.3035683608256991,0.2535289083575786,0.978173313280139,0.2388484191653085,0.0,6.0824742268041234e-05,7.245263338088989
42,head_only,42,2.026393853224717,1.8638186982044807,0.3200276117057436,0.2538830325485318,0.9782111020702634,0.24458377716977892,0.0,5.979381443298969e-05,7.256139755249023
43,head_only,43,2.0313526740321866,1.8565070583270147,0.31991147490438593,0.2615309026099527,0.9785705286713965,0.25158323681747585,0.0,5.876288659793815e-05,7.2623419761657715
44,head_only,44,2.0446270139186415,1.8507890151097224,0.2882234407935135,0.2623040177022482,0.9786166513563914,0.25025574304828224,0.0,5.7731958762886594e-05,7.256142854690552
45,head_only,45,2.0284120788821927,1.8594261041054359,0.303316222820525,0.26071749489371265,0.9784793425253275,0.24861198429807416,0.0,5.670103092783505e-05,7.26409912109375
46,head_only,46,2.0278313964992374,1.8237111866474152,0.3345121424669359,0.2643888675580573,0.9789049736879374,0.2560314755338819,0.0,5.567010309278351e-05,7.254698276519775
47,head_only,47,2.025929193218033,1.8312448950914235,0.33189201362213167,0.26507452210447596,0.9788101898094032,0.2530156001957571,0.0,5.4639175257731955e-05,7.254383563995361
48,head_only,48,2.0200018983382684,1.8380812268990736,0.3344378513542405,0.25727402919496484,0.9787034336928901,0.2506308684210679,0.0,5.360824742268041e-05,7.255469560623169
49,head_only,49,2.0216508716731876,1.8408063122859368,0.34363709320873825,0.27303614404777743,0.9787303665076857,0.25885554412374945,0.0,5.257731958762887e-05,7.253498315811157
50,head_only,50,2.015813803517973,1.829131270830448,0.31716338808460226,0.2634456821857544,0.9787394837109918,0.24755741743766171,0.0,5.1546391752577315e-05,7.255121469497681
51,head_only,51,2.0193728355618266,1.8204348133160517,0.33450843952694187,0.26842891535574165,0.9788994178647127,0.2598948579653624,0.0,5.051546391752577e-05,7.2472453117370605
52,head_only,52,2.0192897474610962,1.8219614281104162,0.3313804957068961,0.27037373990474556,0.9790158919319071,0.26462811490065696,0.0,4.948453608247423e-05,7.250002145767212
53,head_only,53,2.0217077615973236,1.8323879494116857,0.3406386332064953,0.26907859826849806,0.9788542318927845,0.25842302918737065,0.0,4.845360824742268e-05,7.259846925735474
54,head_only,54,2.0040607413688263,1.8198032470849843,0.34579215983960515,0.2689061455150611,0.9790842727148286,0.26260466986493436,0.0,4.7422680412371134e-05,7.254359006881714
55,head_only,55,2.022910009730946,1.823744569833462,0.3241596504457793,0.26623688721385597,0.9788203112088912,0.25824820919650676,0.0,4.639175257731959e-05,7.260727405548096
56,head_only,56,2.0135228757734422,1.8232835898032556,0.3561776144916144,0.2738395456267359,0.9789344950181872,0.264674110490393,0.0,4.536082474226804e-05,7.2480268478393555
57,head_only,57,2.0038293816826562,1.8267717636548555,0.3408982172192919,0.2717384300526697,0.9788866864789085,0.26293633032961883,0.0,4.4329896907216494e-05,7.248496055603027
58,head_only,58,2.0119836647789198,1.823689797749886,0.3413610815820075,0.2739205714029999,0.9790187837753775,0.26244448374273605,0.0,4.329896907216495e-05,7.25416374206543
59,head_only,59,2.0045928777038275,1.816416593698355,0.3730143900999323,0.2768423807875288,0.9791997741134016,0.2712279149841253,0.0,4.2268041237113404e-05,7.26154637336731
60,head_only,60,2.0008791336765537,1.8176430761814117,0.36142663585595664,0.2826800880963805,0.9791639526544555,0.28007693191219085,0.0,4.1237113402061855e-05,7.2576375007629395
61,head_only,61,2.0151936566674866,1.8110591677518992,0.3391677342088169,0.27596382905083156,0.9792757045449555,0.27027794877999706,0.0,4.020618556701031e-05,7.250579595565796
62,head_only,62,2.0095502997373607,1.8071182943307436,0.34235148121466447,0.27104518067443834,0.9790502483527133,0.2656550109248291,0.0,3.9175257731958764e-05,7.257233381271362
63,head_only,63,1.998661712392584,1.8287548354038825,0.3322296712932013,0.26791767895744834,0.9788002643961019,0.2592400072309217,0.0,3.8144329896907216e-05,7.258378028869629
64,head_only,64,1.996612459808201,1.8086069363814135,0.3694387934203415,0.27774055393974567,0.9791565230442226,0.2736879834873941,0.0,3.7113402061855674e-05,7.257431507110596
65,head_only,65,2.010698014265531,1.8174209227928748,0.3333909103800905,0.2728776163170504,0.9791393508961489,0.2652144925363454,0.0,3.6082474226804125e-05,7.253066539764404
66,head_only,66,1.9976105225550664,1.8118345897931318,0.3302420406833481,0.2727881568096499,0.9790714226403209,0.26693515060110073,0.0,3.5051546391752576e-05,7.262288570404053
67,head_only,67,1.9996695812646446,1.814486712217331,0.3490717173609959,0.27416518126862555,0.9789048616001665,0.26982019437773436,0.0,3.4020618556701034e-05,7.242684602737427
68,head_only,68,1.9899879980396915,1.8104419020506053,0.3523730245328528,0.2780196767539297,0.9790191279366808,0.2729591922333121,0.0,3.2989690721649485e-05,7.250185251235962
69,head_only,69,1.9907222335988826,1.8108723278229053,0.35427303731050713,0.27971648079219713,0.9791907825825062,0.2761778530137287,0.0,3.1958762886597937e-05,7.256223201751709
70,head_only,70,1.9891183415016571,1.8123039717857654,0.35518312222955645,0.27858906281449475,0.9791829053961622,0.27407630116437276,0.0,3.0927835051546395e-05,7.256369113922119
71,pooler,1,1.9852346731470776,1.7971131320183094,0.3685903956296944,0.28400117251751944,0.97916340930889,0.28613775933692054,0.0,1.6666666666666667e-05,8.084479331970215
72,pooler,2,1.976894220748505,1.7959964550458467,0.3472957617890513,0.27804478053188925,0.9793163165826425,0.2729831394295658,0.0,3.3333333333333335e-05,8.086693048477173
73,pooler,3,1.9749053948885436,1.7780358607952411,0.36689900285568805,0.2759761671376812,0.9793683006464258,0.2721427774655075,0.0,5e-05,8.071948766708374
74,pooler,4,1.93931211744036,1.7644646580402668,0.3640032528697536,0.28893214931708483,0.9798751739730417,0.2881361944293586,0.0,4.948453608247423e-05,8.091044664382935
75,pooler,5,1.9144627629936515,1.736675860790106,0.36804992910772605,0.29798246116322397,0.9800674311212235,0.29559915392820546,0.0,4.8969072164948454e-05,8.085909366607666
76,pooler,6,1.8949582878645364,1.7466495976998255,0.36167965715846495,0.29284595467602104,0.9799087484517394,0.29607486200060734,0.0,4.845360824742268e-05,8.07918906211853
77,pooler,7,1.8773879137906162,1.7795790984080389,0.3650848476487771,0.28728191853043455,0.9795993560575135,0.28217684568788887,0.0,4.793814432989691e-05,8.08383059501648
78,pooler,8,1.8661726821552624,1.7234783745729005,0.37946362215465074,0.296099581102847,0.980021722097533,0.30500245856740216,0.0,4.7422680412371134e-05,8.095911026000977
79,pooler,9,1.8389643879679891,1.7193079040600703,0.3481465579699822,0.29283560053738406,0.9799229690634669,0.29190104906353737,0.0,4.690721649484536e-05,8.079740524291992
80,pooler,10,1.8304653531545167,1.7097282180419335,0.359690090891194,0.2954985078371908,0.9802151733915466,0.29896302437673355,0.0,4.639175257731959e-05,8.09023380279541
81,pooler,11,1.8185357799777737,1.6785665544179769,0.3711057861718645,0.3085488980740499,0.9805212151728,0.30758449778447067,0.0,4.5876288659793814e-05,8.099449396133423
82,pooler,12,1.8048445706243639,1.6598290273776422,0.392077878457865,0.3129500782997313,0.9808057633062741,0.31920340597910535,0.0,4.536082474226804e-05,8.114920616149902
83,pooler,13,1.7986511928694588,1.6860550389840052,0.3659585504839703,0.30459555109145836,0.9805969376446262,0.29675474843578314,0.0,4.484536082474227e-05,8.07500672340393
84,pooler,14,1.778706863329008,1.6688464765365307,0.3716837375665928,0.30855609116634664,0.9807784462860626,0.30828649237724537,0.0,4.4329896907216494e-05,8.102658033370972
85,pooler,15,1.7631415941498496,1.661339140855349,0.3709762240068131,0.3116054415365198,0.9807886184631373,0.3112664786949008,0.0,4.3814432989690723e-05,8.0808584690094
86,pooler,16,1.763502828486554,1.6577958304148455,0.3974781612890106,0.3124338317244826,0.9810043990779007,0.3187075628790268,0.0,4.329896907216495e-05,8.086868524551392
87,pooler,17,1.754199826872194,1.6542682246519969,0.3663835292753528,0.31785492847178043,0.9811684490458917,0.318795188780083,0.0,4.2783505154639175e-05,8.073315382003784
88,pooler,18,1.7483908843684506,1.6474498957395554,0.36226618491103746,0.3108565259877496,0.9808441728686075,0.30959089142779783,0.0,4.2268041237113404e-05,8.09064269065857
