global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,roc_auc,lr,elapsed_sec
1,head_only,1,0.6036325044966684,0.4550104770152008,0.7926018287614297,0.583002140018343,0.9070936510891826,0.6718337149903117,0.8796329188633251,5.5540355677154585e-05,33.69672226905823
2,head_only,2,0.38942561588557484,0.27451730924932394,0.8424637251998816,0.8697645979822685,0.9009495438465835,0.8558965102286402,0.956042621865982,9.876843545689525e-05,33.646249771118164
3,head_only,3,0.2938496266019168,0.2422544209231787,0.8372747747747747,0.9092020788749617,0.8923850307205362,0.8717572915139967,0.9637321050165747,9.259540824083929e-05,33.68686604499817
4,head_only,4,0.27275170037165064,0.22318763127002647,0.8652251184834123,0.8929990828492815,0.9152857940793149,0.8788927335640139,0.9681551245490447,8.642238102478333e-05,33.73570418357849
5,head_only,5,0.26327845417513634,0.21382971105220563,0.8755595344673232,0.8969734026291654,0.9223608266617017,0.8861371186952582,0.9708262057731487,8.024935380872739e-05,33.619369983673096
6,head_only,6,0.25233616747806226,0.2075721902964527,0.8804576934658236,0.8939162335677163,0.9260845280208527,0.8871359223300971,0.9724405686277534,7.407632659267143e-05,33.61946368217468
7,head_only,7,0.24453596491825405,0.20269556843456538,0.8883140596469872,0.8923876490369917,0.9316700800595792,0.8903461949062071,0.9736489785919047,6.790329937661547e-05,34.429123878479004
8,head_only,8,0.24498217775867195,0.19855649174903245,0.8831400535236396,0.9079792112503822,0.926829268292683,0.895387398251432,0.9747474192649237,6.173027216055953e-05,33.965831995010376
9,head_only,9,0.23952489432516355,0.19627163233235478,0.8796133567662566,0.9180678691531642,0.923477937069447,0.8984293193717278,0.9755712213097263,5.5557244944503574e-05,34.10113859176636
10,head_only,10,0.2367737576769197,0.1938810420277364,0.8922101449275363,0.9033934576582086,0.9335319307391547,0.8977669755430655,0.9757544465416906,4.9384217728447624e-05,34.12180018424988
11,head_only,11,0.23354861672435487,0.19139805367654739,0.8905218956208758,0.9076734943442373,0.9320424501954944,0.8990158970476911,0.9764043582218922,4.3211190512391666e-05,34.0372269153595
12,head_only,12,0.22944272551777328,0.1906434725079795,0.8998167379352474,0.9006420055029043,0.9389312977099237,0.9002291825821238,0.976648601611255,3.7038163296335716e-05,34.22836971282959
13,head_only,13,0.23104774060067285,0.18860326881301315,0.887369985141159,0.9128706817487007,0.9294358592440887,0.8999397227245328,0.9771843888459492,3.0865136080279766e-05,33.07475161552429
14,head_only,14,0.23110311790346513,0.18778229157632106,0.8914868105515588,0.9092020788749617,0.932601005399367,0.9002573028606023,0.9772888938244787,2.4692108864223812e-05,29.9617657661438
15,head_only,15,0.22718928045973988,0.18710791905794075,0.8888558692421991,0.9143992662794252,0.9303667845838763,0.9014466546112115,0.9774779818085064,1.8519081648167858e-05,30.190093755722046
16,head_only,16,0.22907744192064103,0.18694724275401847,0.88806851742469,0.9192907367777438,0.9294358592440887,0.9034099444194081,0.9776235829714033,1.2346054432111906e-05,30.38906717300415
17,head_only,17,0.22836504087512716,0.18634208467761604,0.891083183722322,0.9104249464995414,0.9322286352634519,0.9006502343868138,0.977615329582576,6.173027216055953e-06,30.3333261013031
18,head_only,18,0.23118202144215846,0.18624440411461846,0.8896839594514013,0.9122592479364109,0.9311115248557066,0.9008301886792452,0.9776529536516436,0.0,30.326406002044678
19,pooler,1,0.22498241936778787,0.17292317081078448,0.9253164556962026,0.8939162335677163,0.9560603239620182,0.9093453584201524,0.9811212553165343,2.7770177838577293e-05,30.555511474609375
20,pooler,2,0.2097757043032517,0.16466002580743996,0.9394233884029802,0.8865790278202385,0.9651833922919382,0.9122365523749607,0.9832894205614455,4.9384217728447624e-05,30.379239559173584
21,pooler,3,0.20255893733113858,0.15575025467243156,0.916058394160584,0.9208193213084683,0.9486129212437162,0.9184326879097423,0.9839269521584062,4.6297704120419645e-05,31.5254545211792
