global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,roc_auc,lr,elapsed_sec
1,head_only,1,0.6412914785111479,0.5345592049553114,0.9494773519163763,0.3332314276979517,0.9892012660584621,0.4933242815116542,0.8748320648823371,5.5540355677154585e-05,58.781705141067505
2,head_only,2,0.43626584846691546,0.32347124891684337,0.8738333909436571,0.772852338734332,0.9320424501954944,0.8202465931213497,0.9490115883840325,9.876843545689525e-05,58.69168448448181
3,head_only,3,0.2828158986539089,0.22506344099255168,0.8998115577889447,0.8758789361051666,0.9406069633215416,0.8876839659178931,0.9740251623626572,9.259540824083929e-05,58.7836172580719
4,head_only,4,0.22243578289750174,0.18854496200733326,0.913151364764268,0.9000305716906145,0.9478681809718861,0.9065434949961508,0.9801317593760347,8.642238102478333e-05,57.86727952957153
5,head_only,5,0.1967610819953416,0.1729634769863504,0.9076136021667168,0.922042188933048,0.9428411841370322,0.9147710039429785,0.982490464063009,8.024935380872739e-05,58.9424774646759
6,head_only,6,0.18597107426506546,0.1646526428487371,0.9099397590361445,0.9235707734637726,0.9443306646806926,0.9167045971779699,0.9834010120703819,7.407632659267143e-05,58.56394290924072
7,head_only,7,0.17923895946791019,0.15971304709091783,0.9146562123039808,0.9272393763375114,0.9473096257680134,0.9209048125094884,0.9842292538691745,6.790329937661547e-05,58.6617648601532
8,head_only,8,0.17337583299047254,0.15653169727610314,0.9131349564171927,0.928767960868236,0.9461925153602682,0.9208851167020309,0.984591719938497,6.173027216055953e-05,58.51185488700867
9,head_only,9,0.17098576644793373,0.1540620867984698,0.9183859223300971,0.925405074900642,0.9499162167194191,0.9218821379625399,0.9848937939695733,5.5557244944503574e-05,58.13460063934326
10,head_only,10,0.16741134347439987,0.15244383789489374,0.9198786039453718,0.9266279425252216,0.9508471420592068,0.9232409381663113,0.9851075852001597,4.9384217728447624e-05,58.39562225341797
11,head_only,11,0.1667789801166122,0.15144244869075277,0.912848158131177,0.9318251299296851,0.945820145224353,0.9222390317700454,0.9852878505961308,4.3211190512391666e-05,59.5335259437561
12,head_only,12,0.16587494229301444,0.15021752864670226,0.9172455451525219,0.9284622439620911,0.9489852913796314,0.9228198116074141,0.9854103422703115,3.7038163296335716e-05,57.79147386550903
13,head_only,13,0.16521166387046204,0.149676059044021,0.9146890958245719,0.9309079792112503,0.9471234407000558,0.9227272727272727,0.9854942422367343,3.0865136080279766e-05,57.738442182540894
14,head_only,14,0.16285350876103336,0.14919367555857582,0.915015015015015,0.9315194130235402,0.9473096257680134,0.9231934555370398,0.9855677258572583,2.4692108864223812e-05,58.534350633621216
15,head_only,15,0.16516732727292135,0.14870462900794604,0.9184601394361928,0.9263222256190767,0.9499162167194191,0.9223744292237442,0.9856222551434407,1.8519081648167858e-05,58.54681634902954
16,head_only,16,0.16519254537785583,0.14849071023876176,0.9167167769092003,0.93213084683583,0.9484267361757587,0.9243595573745642,0.9856662257839168,1.2346054432111906e-05,57.409531354904175
