global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,roc_auc,lr,elapsed_sec
1,head_only,1,0.6612577526440174,0.6210808902978897,0.9012875536480687,0.06420055029043106,0.9957177434369764,0.11986301369863013,0.8210872490777692,5.5540355677154585e-05,45.367186069488525
2,head_only,2,0.5693024138511695,0.4990842184599708,0.8029229406554473,0.5542647508407215,0.9171476447588903,0.6558147947187557,0.8635034918380531,9.876843545689525e-05,45.42037868499756
3,head_only,3,0.4592225588307592,0.40179842469446797,0.8414634146341463,0.6961173952919596,0.9201266058462111,0.7619206960013385,0.9154303422236372,9.259540824083929e-05,45.45920205116272
4,head_only,4,0.39174284070289783,0.3494810341473888,0.8280864197530864,0.8202384591867931,0.8962949171476448,0.824143756719398,0.9395587829404844,8.642238102478333e-05,45.50269937515259
5,head_only,5,0.3494217529746112,0.3126971877234824,0.8848149429263231,0.7820238459186794,0.9380003723701359,0.8302499188575138,0.9526614076831991,8.024935380872739e-05,45.546175479888916
6,head_only,6,0.321377124105181,0.28759766775457296,0.8813008130081301,0.8284928156527056,0.9320424501954944,0.8540813110620864,0.9598360501307422,7.407632659267143e-05,45.66684103012085
7,head_only,7,0.2994773225684471,0.2698243652086924,0.8904421326397919,0.8373586059309079,0.9372556320983058,0.8630849220103987,0.9643135420294718,6.790329937661547e-05,45.76738739013672
8,head_only,8,0.2838147260946006,0.25697924908907976,0.892960462873674,0.8492815652705594,0.9380003723701359,0.8705734879348167,0.966977593643092,6.173027216055953e-05,45.62551784515381
9,head_only,9,0.2723753632142626,0.24678293927846587,0.8934010152284264,0.860898807704066,0.9374418171662633,0.8768488245368208,0.9692338140088014,5.5557244944503574e-05,45.68924021720886
10,head_only,10,0.2629399156115325,0.23920797720989762,0.8835995085995086,0.8795475389789056,0.9294358592440887,0.8815688677799908,0.9706207248513123,4.9384217728447624e-05,45.70841073989868
11,head_only,11,0.2557551626281198,0.23437032870510044,0.9052255761116521,0.8526444512381535,0.9456339601563954,0.8781486146095718,0.9717180271258723,4.3211190512391666e-05,45.6972279548645
12,head_only,12,0.25259383962365795,0.22933552951058922,0.9026492180019151,0.864567410577805,0.9432135542729473,0.8831980012492192,0.972577916401823,3.7038163296335716e-05,45.742249488830566
13,head_only,13,0.245716443533087,0.22476912161116214,0.8941469489414695,0.878018954448181,0.936697076894433,0.8860095634737004,0.9732579956411862,3.0865136080279766e-05,45.7046012878418
14,head_only,14,0.24262399839356616,0.22218315188279925,0.8985552763819096,0.874656068480587,0.9398622230497115,0.8864446165762975,0.9736640054515625,2.4692108864223812e-05,45.72113752365112
