global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,roc_auc,lr,elapsed_sec
1,head_only,1,3.3187337757705095,3.23219305735368,0.005524741232475871,0.03571428571428571,0.9642857142857143,0.009569197019554446,0.0,3.3333333333333335e-05,4.515449285507202
2,head_only,2,2.9065286323621677,2.807419946560493,0.005524741232475871,0.03571428571428571,0.9642857142857143,0.009569197019554446,0.0,6.666666666666667e-05,5.191039562225342
3,head_only,3,2.73058008528375,2.6501427246974063,0.02792425373903353,0.06391474129595236,0.9686298186622627,0.03617823713177289,0.0,0.0001,4.04436731338501
4,head_only,4,2.5550844313262346,2.476366428228525,0.05611672407395565,0.09279710998500193,0.9712793572509636,0.06541821423154835,0.0,9.896907216494846e-05,4.975640535354614
5,head_only,5,2.436251917442718,2.3918756521665134,0.05972078244772429,0.10300570873514114,0.9722375351988425,0.07205589200465463,0.0,9.793814432989691e-05,3.9158363342285156
6,head_only,6,2.3784545536165114,2.348594688452207,0.06672616637357139,0.11273077050363149,0.9730585770400787,0.08093806479967833,0.0,9.690721649484537e-05,4.935454845428467
7,head_only,7,2.3164077246343933,2.2577608548677883,0.08692229879084053,0.12983810411494595,0.9742502217902647,0.09850046420649737,0.0,9.587628865979382e-05,3.9814064502716064
8,head_only,8,2.159594005578524,2.0542557193682742,0.13036301256129906,0.16926814023400086,0.9771015630715845,0.1428352264624198,0.0,9.484536082474227e-05,4.995830774307251
9,head_only,9,1.9896989224793076,1.92624215896313,0.14644327373986082,0.1870711204614013,0.9783988473865417,0.15771712743670596,0.0,9.381443298969073e-05,3.9137825965881348
10,head_only,10,1.8716501353623032,1.8084850311279297,0.16426718424016137,0.2062556450787412,0.9797293057312361,0.1775789630484665,0.0,9.278350515463918e-05,4.925161838531494
11,head_only,11,1.7762360859226871,1.7537352763689482,0.20137116194810165,0.21546566500049466,0.9802882986467735,0.18677596047913866,0.0,9.175257731958763e-05,3.9564497470855713
12,head_only,12,1.7161892157096368,1.6731578272122603,0.24030336614201064,0.23018922429040337,0.9808642579739459,0.21021795017411854,0.0,9.072164948453609e-05,4.021653175354004
13,head_only,13,1.657872503454035,1.6203655233749976,0.2626246027785589,0.2460534378316145,0.9813424506558801,0.22967510621356463,0.0,8.969072164948454e-05,4.06234335899353
14,head_only,14,1.6000407523923106,1.573798071879607,0.2701024582196177,0.2612651024106239,0.9819454901309231,0.24837076137380948,0.0,8.865979381443299e-05,5.029153108596802
15,head_only,15,1.562861992167188,1.5387952488202314,0.3306503192185463,0.26934652695408434,0.9821379417241227,0.25877097848662883,0.0,8.762886597938145e-05,3.925750732421875
16,head_only,16,1.5261855860809228,1.5115187695393195,0.3515447076232044,0.27264718157608975,0.9825531940718714,0.26402487421987225,0.0,8.65979381443299e-05,4.006393909454346
17,head_only,17,1.4956775516658634,1.485348302584428,0.37207127172252286,0.28640590016928164,0.9828680018651347,0.2800771627623379,0.0,8.556701030927835e-05,4.9588658809661865
18,head_only,18,1.4706335284493186,1.4626352454607303,0.40121132551929584,0.2965532279840131,0.9831236278805624,0.2935803689453413,0.0,8.453608247422681e-05,4.0323710441589355
19,head_only,19,1.44140557499675,1.4499427435489802,0.3923737822004156,0.30361753332578906,0.9832251236056377,0.30701218383572276,0.0,8.350515463917527e-05,3.9308013916015625
20,head_only,20,1.4226897606601963,1.42280078965884,0.37687750185384056,0.3199673494542457,0.9837709615220943,0.32026526221414053,0.0,8.247422680412371e-05,3.912785053253174
21,head_only,21,1.3970864562245158,1.4031326140348728,0.3811895162276001,0.3131689704769464,0.983808159912278,0.3173983760607641,0.0,8.144329896907217e-05,4.92462420463562
22,head_only,22,1.3797335655658276,1.386991106546842,0.3749807745743362,0.32751880844120035,0.984053721464733,0.33104706484218704,0.0,8.041237113402063e-05,4.053873300552368
23,head_only,23,1.3594664675848824,1.3703583713907461,0.39804386402722336,0.3319090046830163,0.9842366915602693,0.3390635582953867,0.0,7.938144329896907e-05,3.934173107147217
24,head_only,24,1.3351773596429206,1.3515442850498052,0.3875197784357635,0.3431868453359375,0.9844172031903328,0.3452015238245925,0.0,7.835051546391753e-05,4.909379720687866
25,head_only,25,1.3237007190654804,1.3309284035976117,0.3953976090117128,0.3467399211351016,0.9846701113924771,0.3504120387234225,0.0,7.731958762886599e-05,4.039382696151733
26,head_only,26,1.307238763028925,1.3203885085307634,0.40393988851542917,0.34071615926573534,0.9846829912986603,0.34731323928833635,0.0,7.628865979381443e-05,3.9212071895599365
27,head_only,27,1.2918738846655016,1.3167458629378905,0.4016787523918276,0.34298062554331804,0.9847462209093144,0.34781787830853894,0.0,7.525773195876289e-05,4.945807456970215
28,head_only,28,1.2791270764617177,1.3065707941467946,0.4066528234648508,0.35431624018783797,0.9849487295458677,0.35826318685013264,0.0,7.422680412371135e-05,3.9118340015411377
29,head_only,29,1.267084941848532,1.3012460418618643,0.44318260356960515,0.3669667907705593,0.9849667811040784,0.3758356870009863,0.0,7.319587628865979e-05,4.979175806045532
30,head_only,30,1.260070562362671,1.2870392988507564,0.46724288805102787,0.37008046047191695,0.9852033498980232,0.38027035234139345,0.0,7.216494845360825e-05,3.9127988815307617
31,head_only,31,1.2513391665824047,1.2852730435820727,0.47517317291619765,0.36856225429070566,0.9851697402184454,0.3818699319169148,0.0,7.113402061855671e-05,3.9093685150146484
32,head_only,32,1.237701190756513,1.281280792103364,0.43788221043518444,0.36769403839599984,0.9851704518406521,0.38134697490807445,0.0,7.010309278350515e-05,3.9287936687469482
33,head_only,33,1.2270734987475655,1.272217672604781,0.47786883363000315,0.37585558246889217,0.9854889450152257,0.3877448142830239,0.0,6.907216494845361e-05,4.940319776535034
34,head_only,34,1.2187992752372445,1.2796502646345358,0.45356918572493266,0.3702402913968048,0.985206135321509,0.38859622055700405,0.0,6.804123711340207e-05,3.894530773162842
35,head_only,35,1.2169476135984643,1.258741509455901,0.4734673324198894,0.384254384192172,0.9855850849196053,0.39668791604354176,0.0,6.701030927835051e-05,3.9048492908477783
36,head_only,36,1.2016906328015513,1.2654880984471395,0.45426565997842644,0.38063847703935333,0.9853926749562473,0.3949188437106769,0.0,6.597938144329897e-05,4.932709217071533
37,head_only,37,1.1983097687170103,1.2533340694812627,0.4804938576450501,0.3844164120028842,0.9856607260202291,0.39927941239972975,0.0,6.494845360824743e-05,3.9205524921417236
38,head_only,38,1.185824678702788,1.250068222100918,0.4573444116570728,0.3949593548170274,0.9858464669464373,0.40891967613252433,0.0,6.391752577319587e-05,3.921036958694458
39,head_only,39,1.1798673593378686,1.245912539271208,0.45910280490336824,0.389763976555265,0.985958175208344,0.3994688736815634,0.0,6.288659793814433e-05,4.296020269393921
40,head_only,40,1.175762619291033,1.2368464297973192,0.48753935864375103,0.40206325277384153,0.9859946930091212,0.4210560137433437,0.0,6.185567010309279e-05,3.9267377853393555
41,head_only,41,1.1676495574511492,1.2339026257395744,0.4807215890309811,0.3999259737836264,0.9860986627280958,0.4162479003070846,0.0,6.0824742268041234e-05,4.900757789611816
42,head_only,42,1.159361465797796,1.235407135807551,0.4900681039711331,0.40443455910303555,0.9861712757452412,0.424174855428847,0.0,5.979381443298969e-05,3.8737480640411377
43,head_only,43,1.1518371170991426,1.2277708609516804,0.48063762332364274,0.40025061703943476,0.9860793250981743,0.41543105510459705,0.0,5.876288659793815e-05,3.8299572467803955
44,head_only,44,1.144659449140747,1.224408215055099,0.47994617894235103,0.4065421313778299,0.9861654649865622,0.4246765782508959,0.0,5.7731958762886594e-05,4.859793186187744
45,head_only,45,1.1426148673930725,1.2251967564225197,0.4981953520291859,0.40629536723275167,0.9862405323347597,0.4261896148666085,0.0,5.670103092783505e-05,3.87787127494812
46,head_only,46,1.1350498992901343,1.2162750690029218,0.4852050436456396,0.41005946336253324,0.9863846592077932,0.42906366596795537,0.0,5.567010309278351e-05,4.879553556442261
47,head_only,47,1.1294386917120451,1.2128831887474427,0.48790137907489495,0.4058916711761733,0.9862223020315577,0.42556411765199975,0.0,5.4639175257731955e-05,3.9692583084106445
48,head_only,48,1.1216850218834815,1.2124218659905286,0.4788561977991816,0.4131400948868576,0.9863752477543283,0.4290848382000894,0.0,5.360824742268041e-05,4.883571624755859
49,head_only,49,1.1188570303576333,1.2088122780506427,0.4858484638689342,0.4128041155464109,0.98639043244483,0.43213472680935977,0.0,5.257731958762887e-05,3.90596342086792
50,head_only,50,1.1082696732762571,1.2044462280777783,0.4722225526531082,0.4113970839684774,0.9863375540943059,0.42620375832299195,0.0,5.1546391752577315e-05,3.918159246444702
51,head_only,51,1.106071907204467,1.2009929527456944,0.47389430118520126,0.4127392234854154,0.9864557864531805,0.4279226742187188,0.0,5.051546391752577e-05,4.929589509963989
52,head_only,52,1.1010136882980148,1.201403989814795,0.4842066011661621,0.41082325370147377,0.9863084549967966,0.4277429389533391,0.0,4.948453608247423e-05,3.919419050216675
53,head_only,53,1.095871019673038,1.1962324845103116,0.4877978845033824,0.4193288555314441,0.9864889728436392,0.43794243974117447,0.0,4.845360824742268e-05,3.9120891094207764
54,head_only,54,1.089857984672893,1.195499106668509,0.4916787875460607,0.4223114667643215,0.986637689501185,0.44103043205432996,0.0,4.7422680412371134e-05,4.935685873031616
55,head_only,55,1.0890715551840795,1.1916272691809213,0.47865527327662827,0.42962735124576384,0.9867854257911309,0.44321121908129774,0.0,4.639175257731959e-05,4.910959959030151
56,head_only,56,1.08035910361773,1.193937354362928,0.4899188450303789,0.42002107194648736,0.9865782024083224,0.4366685100494735,0.0,4.536082474226804e-05,3.9192068576812744
57,head_only,57,1.084035167059341,1.1876450507686689,0.49998548486861116,0.4243150780907463,0.9866958058179583,0.44465944431728227,0.0,4.4329896907216494e-05,4.884603500366211
58,head_only,58,1.0731664814732291,1.1843714192509651,0.492122073576941,0.4267038551869201,0.9868086583402479,0.44522345355336646,0.0,4.329896907216495e-05,3.8787424564361572
59,head_only,59,1.0729956932656177,1.1835746851104956,0.49931016856935784,0.42427978500987684,0.9867688865506843,0.4439554785521161,0.0,4.2268041237113404e-05,3.848529100418091
60,head_only,60,1.0735595268862588,1.1806836603925779,0.49368657866333315,0.4325175883880598,0.986810619673945,0.45111725293010024,0.0,4.1237113402061855e-05,4.837901830673218
61,head_only,61,1.0659008409295763,1.1796785111610706,0.49256137874371275,0.42763756090284716,0.9867340365441156,0.4454875520893376,0.0,4.020618556701031e-05,3.891812324523926
62,head_only,62,1.0601819788480733,1.1767392708705022,0.4934677226264662,0.43294012241770974,0.986843959476638,0.45027711047156077,0.0,3.9175257731958764e-05,4.904683828353882
63,head_only,63,1.0587175562010183,1.1762974537335908,0.4886111767985694,0.4296896372176543,0.9866645576755045,0.44665664833766805,0.0,3.8144329896907216e-05,3.9379842281341553
64,head_only,64,1.0567101696868995,1.1734855415729375,0.48580073590584183,0.43212745609810266,0.9868439523293225,0.448162311703077,0.0,3.7113402061855674e-05,4.912829637527466
65,head_only,65,1.052503466219097,1.1717006432322354,0.4917636258923429,0.43277161285267934,0.9869224157431313,0.45044114528033946,0.0,3.6082474226804125e-05,3.95737886428833
66,head_only,66,1.0450341686025841,1.1720114189844866,0.5021769418921687,0.4328429659112266,0.9868825478989819,0.4526353459461444,0.0,3.5051546391752576e-05,4.906636714935303
67,head_only,67,1.044003754080116,1.1691756088000078,0.4843905072388788,0.43052939719188305,0.9868239088422271,0.446375334228212,0.0,3.4020618556701034e-05,3.8737545013427734
68,head_only,68,1.0444043042597833,1.1687877550721169,0.5029011156488286,0.43519083658049545,0.9869049429931163,0.45260203784352254,0.0,3.2989690721649485e-05,4.793621063232422
69,head_only,69,1.0417493024429718,1.1674103880157838,0.488168194447273,0.4384858221178388,0.9869022751056049,0.4538161997692021,0.0,3.1958762886597937e-05,3.8619678020477295
70,head_only,70,1.0382094750930737,1.1658448319022472,0.48067636419893484,0.43264744248859704,0.98680533072549,0.4468532581898054,0.0,3.0927835051546395e-05,3.8160691261291504
71,head_only,71,1.0357019792903552,1.166236730149159,0.49427865647453934,0.4340348584747483,0.9868554817923959,0.4515745282787095,0.0,2.9896907216494846e-05,4.865053415298462
72,head_only,72,1.031664343623372,1.1669852647643824,0.4957792397872369,0.433356197876809,0.986907867065395,0.4486894684973941,0.0,2.8865979381443297e-05,3.8981008529663086
73,head_only,73,1.0274168465818678,1.166034564948999,0.4840642849652962,0.43770163123574685,0.9868793958992498,0.4508924398199879,0.0,2.7835051546391755e-05,4.930207014083862
74,head_only,74,1.0273493640608602,1.1621515991596074,0.5122915764053427,0.4410618027645401,0.986994923918478,0.45970019950299246,0.0,2.6804123711340206e-05,3.9357802867889404
75,head_only,75,1.0275149028022568,1.161698621052962,0.4943102385160313,0.44190778034786465,0.9869834545237719,0.4578746262163749,0.0,2.5773195876288658e-05,4.9120824337005615
76,head_only,76,1.022126992027481,1.165211911384876,0.5022697706027458,0.4415969498986375,0.9868685068144732,0.4574164152341938,0.0,2.4742268041237116e-05,3.973006010055542
77,head_only,77,1.0154519665550876,1.1652368587943225,0.48817431233088665,0.4335390555997386,0.9868747548774174,0.4477991831884718,0.0,2.3711340206185567e-05,4.906563997268677
78,head_only,78,1.0203620861103009,1.1603562063895738,0.5125559343233045,0.4382263807012947,0.9869233632121152,0.45814311077663483,0.0,2.268041237113402e-05,3.9110283851623535
79,head_only,79,1.0207623080773787,1.1581399205785532,0.5104200501803576,0.44396566068703136,0.986924069144378,0.46189115036116907,0.0,2.1649484536082476e-05,4.930693626403809
80,head_only,80,1.0141444163663047,1.1586965076052225,0.5091266529621208,0.444058759091932,0.9868761206911796,0.4621689884443797,0.0,2.0618556701030927e-05,3.950052499771118
81,head_only,81,1.0177632825715202,1.1591697432673895,0.5149607199709211,0.4433883680476027,0.9869003880456779,0.4625638112686366,0.0,1.9587628865979382e-05,4.935049295425415
82,head_only,82,1.005956088567709,1.1562465629898584,0.518588726031551,0.4441640682628674,0.9869879677109242,0.46514035019955474,0.0,1.8556701030927837e-05,3.9372875690460205
83,head_only,83,1.0092535324684986,1.1571658316713114,0.5216889013418158,0.4435505495911046,0.9869396666686904,0.46550204512797283,0.0,1.7525773195876288e-05,4.957457542419434
84,head_only,84,1.0116639973281265,1.1555178176898222,0.5062307364602908,0.4447548387348347,0.986967249909073,0.46272248426870083,0.0,1.6494845360824743e-05,4.93967866897583
85,head_only,85,1.0093142583772734,1.1548668203445582,0.5111016369468265,0.44774325162001594,0.9868883732912204,0.4666933983637903,0.0,1.5463917525773197e-05,3.9346389770507812
86,head_only,86,1.0008548405263331,1.1538066428441267,0.5053688111869293,0.4443369744116786,0.9868366353963145,0.46265737388006994,0.0,1.4432989690721649e-05,3.916090250015259
87,head_only,87,1.0078666508197784,1.1530073118897586,0.514425514598325,0.4467024247957615,0.9869537438467451,0.46503049486826936,0.0,1.3402061855670103e-05,4.937468767166138
88,head_only,88,1.0028031723839896,1.1535597856228168,0.5186575570657591,0.4459219901746433,0.9869108189913947,0.46647959953586005,0.0,1.2371134020618558e-05,3.9198920726776123
89,head_only,89,0.9986077291624886,1.1533432837862234,0.5114126739560724,0.4488382961798919,0.9869669227546549,0.46721049417466887,0.0,1.134020618556701e-05,4.914329767227173
90,head_only,90,0.999090989301731,1.153005637228489,0.5099048904131744,0.4465090479990967,0.9869621437082473,0.46527145508572904,0.0,1.0309278350515464e-05,4.954966068267822
91,head_only,91,1.0021678828573846,1.1515789244037409,0.5177375328783916,0.4492323310302293,0.987011426592139,0.46800723146596407,0.0,9.278350515463918e-06,3.927083730697632
92,head_only,92,0.998751056271714,1.1512263107758303,0.5125319634865974,0.44715891421723236,0.9869979190007102,0.4652604979652706,0.0,8.247422680412371e-06,4.908332586288452
93,head_only,93,0.9962045666459319,1.1520613059401512,0.5093375878065671,0.44825504765249563,0.9869662344670918,0.46613847132896424,0.0,7.216494845360824e-06,3.930448293685913
94,head_only,94,0.9976456424632629,1.1513305965524454,0.5172482949014215,0.44680238611910833,0.9869297091659215,0.46635793513903107,0.0,6.185567010309279e-06,4.953669309616089
95,head_only,95,0.9984827471243871,1.1507759879414852,0.5130049614868214,0.4467688943510844,0.9869681279317112,0.46536458790168134,0.0,5.154639175257732e-06,3.9361467361450195
96,head_only,96,0.9942725064692559,1.1510870577051089,0.5056049183348045,0.44594614119467063,0.9869654122505223,0.46370804162361134,0.0,4.123711340206186e-06,4.922915697097778
97,head_only,97,0.9979863445480148,1.1510405718134,0.505419946610097,0.44586191386123775,0.9869314751672046,0.46341808927575573,0.0,3.0927835051546395e-06,3.948956251144409
98,head_only,98,0.9914719079221997,1.1509910042469318,0.5060678180998063,0.44490432983036415,0.9869024125854116,0.4631541971148981,0.0,2.061855670103093e-06,4.912031650543213
99,head_only,99,0.9970733341458556,1.1508850140067248,0.5058126251316115,0.4464162208874177,0.9869289457984455,0.46435980498339946,0.0,1.0309278350515464e-06,3.925929546356201
100,head_only,100,0.9911037660264349,1.1508861791629057,0.5068479838798072,0.44721671943446983,0.986930048170999,0.46529474222630324,0.0,0.0,4.9042909145355225
101,pooler,1,0.993631252994785,1.1571839360090403,0.5158171950629,0.4536314858232227,0.9869882698834049,0.4711743894727776,0.0,1.6666666666666667e-05,5.326237440109253
102,pooler,2,0.9904283815390104,1.138690489415939,0.5187531353815922,0.4634989615364312,0.9871471123981584,0.48151439406021657,0.0,3.3333333333333335e-05,4.303697824478149
103,pooler,3,0.9632991296904427,1.124188204224293,0.523388452873893,0.47999500325940486,0.9876306364232782,0.49130946268028125,0.0,5e-05,5.293201446533203
104,pooler,4,0.9278075195752181,1.1322227074549749,0.5487427154656995,0.4730692374776,0.9873867996872802,0.49707828607769444,0.0,4.948453608247423e-05,4.344327926635742
105,pooler,5,0.8807761746567565,1.0909034185684645,0.5403384897944109,0.4923257471631201,0.9878450221250962,0.5059864695710884,0.0,4.8969072164948454e-05,5.296568393707275
